,Unnamed: 0,year,month,days,hour,minute,second,depth,latitude,longitude,magnitude,station,station_latitude,station_longitude,pga,sa0.01,sa0.02,sa0.03,sa0.05,sa0.07,sa0.1,sa0.15,sa0.2,sa0.25,sa0.3,sa0.4,sa0.5,sa0.75,sa1,sa1.5,sa2,sa3,sa4,sa5,sa7.5,sa10,Vs30,HVSRamp,fpeak,T*,P*,Rock/Soil,event_type,HypDist,RupDist,JBDist,XDist,Azimuth,RupDepth,Strike,Dip,Rake
0,0,2015,1,9,18,35,1,23.6325,-34.19,-72.39,4.7,V16A,-33.5904426574707,-71.6045913696289,0.0045,0.0045,0.0046,0.00486,0.00591,0.00766,0.00939,0.0119,0.0233,0.0103,0.00589,0.00383,0.00228,0.000612,0.000288,0.000161,9.3e-05,3.71e-05,1.95e-05,1.1e-05,-12300.0,-12300.0,477,2,5.60,-12345,-12345,-12345,Inter,101.29,101.29,98.49,87.27,47.75,23.6325,0.0,0.0,105.0
1,1,2018,5,11,21,57,42,25.8195,-32.75,-71.87,4.5,V02A,-33.02313995361328,-71.517822265625,0.0238,0.0238,0.0247,0.0257,0.0333,0.0557,0.0926,0.0604,0.0246,0.0131,0.00787,0.00477,0.00262,0.00111,0.000693,0.000295,0.000175,7.04e-05,3.64e-05,2.46e-05,-12300.0,-12300.0,596,2,6.04,sII,C,Rock,Inter,51.67,51.67,44.76,39.13,132.69,25.8195,0.0,0.0,105.0
3,3,2018,5,11,21,57,42,25.8195,-32.75,-71.87,4.5,V07A,-33.36536407470703,-71.66898345947266,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,549,1,5.72,sVI,B,Rock,Inter,75.34,75.34,70.78,22.33,164.67,25.8195,0.0,0.0,105.0
4,4,2018,5,11,21,57,42,25.8195,-32.75,-71.87,4.5,V12A,-32.45008850097656,-71.23664093017578,0.00533,0.00533,0.00547,0.0057,0.00724,0.0104,0.0183,0.0125,0.016,0.00864,0.00504,0.00332,0.00217,0.000817,0.000401,0.000163,8.32e-05,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,347,3,2.05,-12345,-12345,-12345,Inter,72.85,72.85,68.13,70.37,60.95,25.8195,0.0,0.0,105.0
6,6,2018,5,11,21,57,42,25.8195,-32.75,-71.87,4.5,V18A,-33.05150604248047,-71.33802032470703,0.0063,0.0063,0.00644,0.00685,0.0103,0.0126,0.0135,0.0151,0.0179,0.0112,0.00525,0.00262,0.00146,0.000708,0.000337,0.000124,9.49e-05,3.66e-05,1.88e-05,1.5e-05,-12300.0,-12300.0,492,3,4.10,sIII,C,Soil,Inter,65.28,65.28,59.96,59.11,124.04,25.8195,0.0,0.0,105.0
7,7,2018,5,11,21,57,42,25.8195,-32.75,-71.87,4.5,V01A,-33.053077697753906,-71.62202453613281,0.00518,0.00518,0.00539,0.00549,0.00766,0.0124,0.0135,0.017,0.00644,0.00579,0.00512,0.00357,0.00293,0.00168,0.000757,0.000311,0.000141,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,607,0,-,sII,B,Rock,Inter,48.32,48.32,40.84,27.55,145.45,25.8195,0.0,0.0,105.0
9,9,2018,5,11,21,57,42,25.8195,-32.75,-71.87,4.5,V03A,-33.05513381958008,-71.43859100341797,0.0182,0.0182,0.0186,0.0197,0.0297,0.0345,0.0509,0.0404,0.0341,0.0147,0.00921,0.00468,0.00263,0.0012,0.000665,0.000295,0.00015,7.14e-05,3.65e-05,2.37e-05,-12300.0,-12300.0,575,3,5.50,sII,C,Soil,Inter,58.66,58.66,52.67,47.93,130.09,25.8195,0.0,0.0,105.0
11,11,2018,5,11,21,57,42,25.8195,-32.75,-71.87,4.5,V13A,-32.50616455078125,-71.44186401367188,0.00578,0.00577,0.00622,0.00725,0.0108,0.0151,0.0137,0.0121,0.0111,0.00742,0.0043,0.00156,0.000892,0.000418,0.00026,0.000154,9.26e-05,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,357,3,3.52,-12345,-12345,-12345,Inter,54.88,54.88,48.43,47.57,56.17,25.8195,0.0,0.0,105.0
12,12,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C17O,-29.90437126159668,-71.23792266845703,0.0444,0.0444,0.0447,0.0455,0.0531,0.0771,0.0702,0.134,0.11,0.117,0.118,0.121,0.065,0.0211,0.0149,0.00616,0.00294,0.0011,0.000552,0.000359,0.000169,9.64e-05,529,0,-,-12345,-12345,-12345,Intra,91.64,92.89,56.79,32.45,149.47,73.5,183.0,15.0,-82.0
13,13,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,A25C,-28.95532989501953,-70.89570617675781,0.0583,0.0586,0.107,0.189,0.0938,0.128,0.088,0.149,0.0587,0.0513,0.0355,0.0408,0.019,0.0116,0.00435,0.00116,0.000827,0.000354,0.000214,0.000134,-12300.0,-12300.0,-12345,-12345,-12345.0,sII,A,Soil,Intra,102.31,111.07,83.27,70.48,56.32,73.5,183.0,15.0,-82.0
